user_id,user_sex,user_age,user_country,rating,comment,favourite_character,date
0,female,50,Germany,2.5,"""The transitions between scenes were awkward, and the soundtrack was forgettable.""",Severus Snape,27/12/2004
1,female,23,Spain,4,"""Severus Snape's role adds an intriguing layer.""",Severus Snape,22/11/2003
2,male,32,France,3,"""The pacing was a bit slow, but the characters were charming.""",Ron Weasley,16/09/2005
3,female,24,Turkey,4.5,"""Hagrid's love for magical creatures is heartwarming.""",Rubeus Hagrid,17/09/2002
4,female,40,Spain,5,"""Neville Longbottom's courage is awe-inspiring.""",Neville Longbottom,17/10/2004
5,female,16,Finland,5,"""Rubeus Hagrid's love for magical creatures is endearing.""",Rubeus Hagrid,02/12/2002
6,male,26,Germany,4,"""Severus Snape's complexity adds depth to the story.""",Severus Snape,28/11/2005
7,female,28,Sweden,2.5,"""Albus Dumbledore's presence feels unnecessary and distracting.""",Albus Dumbledore,10/02/2005
8,female,52,Switzerland,4,"""Ron Weasley's humor adds a delightful touch.""",Ron Weasley,02/02/2002
9,female,46,Turkey,4.5,"""Hermione Granger's determination is inspiring.""",Hermione Granger,02/12/2005
10,male,34,Switzerland,4,"""The seamless transitions between scenes added to the overall magic.""",Hermione Granger,01/09/2002
11,male,51,Switzerland,5,"""A magical adventure with a touch of nostalgia.""",Albus Dumbledore,23/07/2005
12,male,38,Sweden,3,"""The character development was lacking, and the story felt uninspired.""",Ron Weasley,05/08/2004
13,male,47,Germany,5,"""The special effects were outstanding!""",Hermione Granger,16/03/2005
14,male,39,Spain,4.5,"""A magical masterpiece for the ages.""",Harry Potter,16/09/2003
15,female,20,Sweden,4,"""Hermione Granger's intelligence is a key asset.""",Hermione Granger,16/08/2002
16,other,31,Belgium,5,"""The magical world is brought to life with stunning visuals.""",Hermione Granger,06/01/2004
17,female,22,Switzerland,3.5,"""Draco Malfoy's character adds tension and intrigue.""",Draco Malfoy,11/05/2005
18,female,57,Switzerland,5,"""The setting at Hogwarts is magical and captivating.""",Ron Weasley,20/05/2003
19,female,30,France,2,"""The pacing dragged, and the visual effects were unimpressive.""",Ron Weasley,19/08/2005
